course,topic,difficulty_label,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,question_type,starter_code,test_code
Machine Learning,classification,hard,0.85,What is the role of 'Support Vectors' in a Support Vector Machine (SVM) classifier?,They are the critical data points closest to the decision boundary that define the margin's position.,They are virtual vectors created to represent average class coordinates.,They are regularization coefficients used to balance bias and variance.,They are scaling factors used to encode categorical parameters.,A,Support vectors are the training examples that lie closest to the decision surface. Removing them would change the position of the separating hyperplane.,,,
Machine Learning,features,easy,0.25,What is the goal of Feature Scaling in machine learning?,"To bring all features to a similar numerical scale, preventing features with larger values from dominating.",To reduce the physical storage size of dataset files.,To increase the number of columns in the dataset.,To automatically delete rows with missing coordinates.,A,Algorithms relying on distances (like KNN or SVM) or gradients (like neural networks) perform poorly if features have vastly different scales. Feature scaling normalizes their ranges.,,,
Machine Learning,features,medium,0.55,What is the difference between Normalization (Min-Max Scaling) and Standardization (Z-score Normalization)?,"Normalization bounds values strictly between 0 and 1, whereas Standardization centers values around mean 0 with standard deviation 1.","Standardization bounds values between 0 and 1, whereas Normalization centers them.","Normalization is used for numeric data, whereas Standardization is used only for text columns.","Normalization requires calculating the median, whereas Standardization requires the mode.",A,"Min-Max scaling normalizes data to a fixed range (typically 0 to 1). Z-score standardization transforms data to have a mean of 0 and standard deviation of 1, which handles outliers better.",,,
Machine Learning,features,hard,0.85,"When dealing with high-cardinality categorical features, why is One-Hot Encoding sometimes problematic?","It creates a very high number of sparse binary columns, leading to the curse of dimensionality.",It converts categorical strings into invalid floating-point numbers.,It destroys the linear relationship between the independent and dependent variables.,It causes the models to ignore regularized coefficients.,A,"One-hot encoding creates a column for every single unique category. For a column with 1,000 categories, it adds 1,000 columns, vastly increasing dimensionality and sparse data overhead.",,,
Machine Learning,overfitting,easy,0.25,What does it mean when a machine learning model is 'overfitting'?,The model performs exceptionally well on the training data but fails to generalize to unseen test data.,The model's training accuracy is too low.,The model requires too much memory to load.,The dataset has more columns than rows.,A,"Overfitting occurs when a model learns the noise and details of the training set too well, leading to poor generalization on new, unseen data.",,,
Machine Learning,overfitting,medium,0.55,How does increasing the regularization parameter (lambda/alpha) affect a model's bias and variance?,"It increases bias and decreases variance, simplifying the model.","It decreases bias and increases variance, making the model more complex.",It decreases both bias and variance.,It has no effect on bias or variance.,A,"Regularization penalizes model complexity. Increasing the penalty forces weights to be smaller, which reduces variance (less overfitting) but increases bias (simpler model).",,,
Machine Learning,overfitting,hard,0.85,How does Cross-Validation help in diagnosing overfitting?,"By providing an unbiased estimate of model performance on multiple validation folds, showing if training score is significantly higher than validation score.",By automatically pruning decision tree branches.,By removing collinear features before the training loop starts.,By training the model on the testing set directly.,A,"Cross-validation splits the training data into multiple folds. If the model scores very high on the training fold but drops significantly on the validation folds, it is a clear indicator of overfitting.",,,
Machine Learning,clustering,easy,0.25,Which of the following is a classic unsupervised clustering algorithm?,K-Means,Logistic Regression,Linear Regression,Decision Trees,A,K-Means is a popular unsupervised algorithm that partitions unlabeled data into K clusters based on similarity.,,,
Machine Learning,clustering,medium,0.55,"In K-Means clustering, what does the 'Elbow Method' help you determine?",The optimal number of clusters (K) by plotting the sum of squared distances against K.,The execution time of the clustering loop.,The maximum distance between support vectors.,The optimal feature scaling factor.,A,The elbow method plots the within-cluster sum of squares (inertia) as a function of K. The 'elbow' point indicates a balanced trade-off where increasing K yields diminishing returns.,,,
Machine Learning,clustering,hard,0.85,What is measured by the Silhouette Coefficient in clustering analysis?,"How close each point in one cluster is to points in the neighboring clusters, balancing cohesion and separation.",The exact ratio of outliers successfully removed.,The rate of convergence of centroid recalculations.,The overlap between supervised class boundaries.,A,The Silhouette Coefficient measures clustering quality by evaluating both cohesion (how close a point is to its own cluster members) and separation (how far it is from the nearest neighboring cluster). Scores range from -1 to 1.,,,
Machine Learning,model validation,easy,0.25,Why is it critical to split your data into a training set and a testing set?,"To evaluate how well the model generalizes to new, unseen data.",To make sure the training runs twice as fast.,To filter out duplicate rows.,Because modern libraries will not execute training without a split.,A,"Evaluating a model on the same data it trained on is cheating. A separate test set provides an honest, unbiased estimation of generalization performance.",,,
Machine Learning,model validation,medium,0.55,What is K-Fold Cross-Validation?,"A validation technique where data is split into K equal folds; the model is trained K times, each time using a different fold for validation.",A method that scales learning rates by a factor of K.,A regression algorithm that fits K lines to the data.,A data scrubbing technique that deletes every K-th row.,A,"K-Fold cross-validation ensures every data point is used for training and validation exactly once, leading to a much more robust performance estimation.",,,
Machine Learning,model validation,hard,0.85,What is the difference between a Validation Curve and a Learning Curve?,"A Validation Curve plots performance against a hyperparameter, while a Learning Curve plots performance against training sample size.","A Learning Curve is used only for deep learning, whereas a Validation Curve is used for classic ML.","A Validation Curve displays training time, whereas a Learning Curve displays scoring latency.",There is no difference; they are different terms for the same plot.,A,"Validation Curves show how a model's score varies with a hyperparameter (e.g. max_depth). Learning Curves show how the score varies with the number of training samples, helping diagnose bias vs variance.",,,
Machine Learning,metrics,easy,0.25,"Write accuracy_score(y_true, y_pred) for equal-length label lists.",,,,,tests,Solve the function so the hidden-style checks pass.,coding,"def accuracy_score(y_true, y_pred):
    pass","assert accuracy_score([1,0,1], [1,1,1]) == 2/3"
Machine Learning,features,medium,0.55,Write min_max_scale(values) returning values scaled between 0 and 1.,,,,,tests,Solve the function so the hidden-style checks pass.,coding,"def min_max_scale(values):
    pass","assert min_max_scale([2, 4, 6]) == [0.0, 0.5, 1.0]"
Machine Learning,activation,hard,0.85,Write relu(values) that replaces negative numbers with zero.,,,,,tests,Solve the function so the hidden-style checks pass.,coding,"def relu(values):
    pass","assert relu([-2, 0, 3]) == [0, 0, 3]"
